Week Start,Week End,GRIPCA,RMFG,COG,Total
2025-06-30T00:00:00,2025-07-06T00:00:00,66.0,853.0,455.0,1374
2025-07-07T00:00:00,2025-07-13T00:00:00,80.0,783.0,434.0,1297
2025-07-14T00:00:00,2025-07-20T00:00:00,87.0,354.0,778.0,1219
2025-07-21T00:00:00,2025-07-27T00:00:00,74.0,822.0,338.0,1234
2025-07-28T00:00:00,2025-08-03T00:00:00,79.0,784.0,303.0,1166
2025-08-04T00:00:00,2025-08-10T00:00:00,54.0,860.0,245.0,1159
2025-08-11T00:00:00,2025-08-17T00:00:00,73.0,851.0,235.0,1159
2025-08-18T00:00:00,2025-08-24T00:00:00,81.0,751.0,268.0,1100
2025-08-25T00:00:00,2025-08-31T00:00:00,80.0,953.0,273.0,1306
2025-09-01T00:00:00,2025-09-07T00:00:00,51.0,969.0,179.0,1199
2025-09-08T00:00:00,2025-09-14T00:00:00,83.0,835.0,225.0,1143
2025-09-15T00:00:00,2025-09-21T00:00:00,53.0,957.0,234.0,1244
2025-09-22T00:00:00,2025-09-28T00:00:00,80.0,1051.0,254.0,1385
2025-09-29T00:00:00,2025-10-05T00:00:00,71.0,1038.0,225.0,1334
2025-10-06T00:00:00,2025-10-12T00:00:00,39.0,1251.0,28.0,1318
2025-10-13T00:00:00,2025-10-19T00:00:00,53.0,1051.0,215.0,1319
2025-10-20T00:00:00,2025-10-26T00:00:00,74.0,1051.0,218.0,1343
2025-10-27T00:00:00,2025-11-02T00:00:00,80.0,1363.0,191.0,1634
2025-11-03T00:00:00,2025-11-09T00:00:00,45.0,928.0,171.0,1144
2025-11-10T00:00:00,2025-11-16T00:00:00,,926.0,167.0,1093
2025-11-17T00:00:00,2025-11-23T00:00:00,,1426.0,197.0,1623
2025-11-24T00:00:00,2025-11-30T00:00:00,,936.0,177.0,1113
2025-12-01T00:00:00,2025-12-07T00:00:00,,1041.0,,1041
2025-12-08T00:00:00,2025-12-14T00:00:00,,1155.0,,1155
2025-12-15T00:00:00,2025-12-21T00:00:00,,1940.0,,1940
2025-12-22T00:00:00,2025-12-28T00:00:00,,1783.0,,1783
2025-12-29T00:00:00,2026-01-04T00:00:00,,1339.0,,1339
2026-01-05T00:00:00,2026-01-11T00:00:00,,1251.0,,1251
2026-01-12T00:00:00,2026-01-18T00:00:00,,1706.0,150.0,1856
2026-01-19T00:00:00,2026-01-25T00:00:00,,1907.0,412.0,2319
2026-01-26T00:00:00,2026-02-01T00:00:00,,2151.0,429.0,2580
2026-02-02T00:00:00,2026-02-08T00:00:00,,2195.0,152.0,2347
2026-02-09T00:00:00,2026-02-15T00:00:00,,3404.0,,3404
2026-02-16T00:00:00,2026-02-22T00:00:00,,2032.0,429.0,2461
